user_id,item_id,predicted_rating
391,480,4.850168491823557
391,318,4.699955938427052
391,134,4.650392409722896
391,604,4.5012043707480105
391,427,4.450733862956259
391,12,4.450723961872416
391,659,4.400751070700447
391,479,4.348598775862828
391,131,4.30103993665325
391,132,4.299965988904399
181,302,4.348179723361123
181,251,4.347791859406692
181,275,4.302260116719118
181,1,4.2990963697514255
181,1368,4.230745439605839
181,285,4.202774181822783
181,237,4.053975324700056
181,1361,4.0
181,117,3.9950322688441138
181,116,3.9611045608473674
637,127,4.399216698963149
637,285,4.350835067421514
637,475,4.05101899992022
637,150,4.050257000351747
637,257,4.003552798154844
637,268,3.9007429016332593
637,847,3.805518376878993
637,93,3.80092280637353
637,286,3.799941821634267
637,744,3.748609999156431
332,12,4.60038224073063
332,22,4.500315245381928
332,64,4.449544321636982
332,172,4.400004759773832
332,95,4.299652408860877
332,237,4.050142702949395
332,470,4.000745914757672
332,9,4.0003922498587245
332,97,4.000037344217873
332,234,3.9997508643025044
271,12,4.650107032322699
271,134,4.649961758219175
271,169,4.649619731388518
271,427,4.60029593829468
271,480,4.550064913781523
271,511,4.549392549280689
271,479,4.4503382726330285
271,135,4.449850697327194
271,504,4.449729177006772
271,199,4.39961164612064
27,515,4.4
27,475,3.95
27,286,3.75
27,742,3.650068434596939
27,596,3.5998221094923215
27,925,3.207252266488579
27,123,3.1984034882438714
27,1017,3.051649311939976
27,118,3.0494790734430866
27,978,2.4327373044000686
387,22,4.551703948792965
387,641,4.550591422355206
387,408,4.502011657932512
387,127,4.448941531670972
387,511,4.400625690856735
387,156,4.350320348292838
387,496,4.250922653076467
387,530,4.250195871234231
387,89,4.249514508960605
387,98,4.248375443368568
92,56,4.549306245776965
92,528,4.499968656155479
92,134,4.350642635449499
92,421,4.350387820885832
92,183,4.300848216973948
92,191,4.247310595113674
92,515,4.247155050312638
92,132,4.2010114523779585
92,168,4.150997193179682
92,433,4.101401358844844
820,315,4.151666201092269
820,751,3.3002036404337454
820,347,3.10190614185362
820,358,2.8532220705156157
820,343,2.7547643295008073
479,22,4.499327212807305
479,172,4.450507702792645
479,181,4.450036112827248
479,190,4.448299901324094
479,474,4.251579576090156
479,1039,4.248652713507077
479,604,4.2011578742658084
479,82,4.2007558445130595
479,177,4.200074786681726
479,173,4.150636542825937
458,484,4.6481354504250225
458,134,4.601090938256775
458,654,4.599699493212257
458,178,4.550345894156079
458,513,4.500896292412879
458,187,4.498998306358093
458,427,4.4500305201379575
458,127,4.448364204278278
458,589,4.401537310190326
458,98,4.398816845565066
669,427,4.550841427655298
669,517,4.550128294796914
669,12,4.5485537792403195
669,187,4.499673054205349
669,172,4.450759993741443
669,114,4.450398562824657
669,515,4.448420281951746
669,514,4.399532967632678
669,22,4.347978111297635
669,511,4.301966101140283
295,174,4.499721676175693
295,98,4.400853364340542
295,497,4.400628976752662
295,50,4.399684313745705
295,99,4.301554618216473
295,735,4.300809860153284
295,357,4.3001306356404525
295,648,4.149489287766336
295,143,4.099865708938256
295,421,4.051099749558862
297,114,4.500971669781448
297,474,4.497964816064648
297,1073,4.4016839165217245
297,174,4.400808915032498
297,100,4.399502432765112
297,1007,4.399133360895233
297,22,4.299614085789198
297,209,4.249242675066757
297,50,4.248074250497042
297,211,4.20034723555197
153,50,4.5
153,187,4.300896824895801
153,64,4.298214173991379
153,357,4.151490247065282
